opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,394,0.005,0.5,,,,,1421.3457454999443,1421.3457454999443,1424.3648506000172,1424.3648506000172,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,395,0.005,0.5,,,,,1424.870354100014,1424.870354100014,1427.8871035999618,1427.8871035999618,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,396,0.005,0.5,,,,,1428.379120699945,1428.379120699945,1431.3987788000377,1431.3987788000377,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,397,0.005,0.5,,,,,1431.8951218000147,1431.8951218000147,1434.9127190000145,1434.9127190000145,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,398,0.005,0.5,,,,,1435.413633499993,1435.413633499993,1438.433680200018,1438.433680200018,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,399,0.005,0.5,,,,,1438.9278131000465,1438.9278131000465,1441.9473229000578,1441.9473229000578,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,400,0.005,0.5,,,,,1442.5188498999923,1442.5188498999923,1445.5386351000052,1445.5386351000052,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,401,0.005,0.5,,,,,1446.0480920999544,1446.0480920999544,1449.061941800057,1449.061941800057,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,402,0.005,0.5,,,,,1449.561059199972,1449.561059199972,1452.5781016000547,1452.5781016000547,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,403,0.005,0.5,,,,,1453.0766653999453,1453.0766653999453,1456.0849756000098,1456.0849756000098,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,404,0.005,0.5,,,,,1456.575844499981,1456.575844499981,1459.5834545999533,1459.5834545999533,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,405,0.005,0.5,,,,,1460.0764527999563,1460.0764527999563,1463.0833080000011,1463.0833080000011,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,406,0.005,0.5,,,,,1463.576949600014,1463.576949600014,1466.5952638000017,1466.5952638000017,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,407,0.005,0.5,,,,,1467.0940896000247,1467.0940896000247,1470.1122917999746,1470.1122917999746,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,408,0.005,0.5,,,,,1470.610983200022,1470.610983200022,1473.627968100016,1473.627968100016,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,409,0.005,0.5,,,,,1474.1274837000528,1474.1274837000528,1477.1446137999883,1477.1446137999883,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,410,0.005,0.5,,,,,1477.6427929999772,1477.6427929999772,1480.6633210000582,1480.6633210000582,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,411,0.005,0.5,,,,,1481.1598672999535,1481.1598672999535,1484.1815109000308,1484.1815109000308,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,412,0.005,0.5,,,,,1484.6967966000084,1484.6967966000084,1487.7117871999508,1487.7117871999508,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,413,0.005,0.5,,,,,1488.2108699999517,1488.2108699999517,1491.247093199985,1491.247093199985,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,414,0.005,0.5,,,,,1491.7284025000408,1491.7284025000408,1494.7451618999476,1494.7451618999476,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,415,0.005,0.5,,,,,1495.2453762999503,1495.2453762999503,1498.2605420999462,1498.2605420999462,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,416,0.005,0.5,,,,,1498.7593101999955,1498.7593101999955,1501.7781100999564,1501.7781100999564,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,417,0.005,0.5,,,,,1502.3005070999498,1502.3005070999498,1505.3121918999823,1505.3121918999823,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,418,0.005,0.5,,,,,1505.810671400046,1505.810671400046,1508.8281719000079,1508.8281719000079,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,419,0.005,0.5,,,,,1509.3274683000054,1509.3274683000054,1512.3455085000023,1512.3455085000023,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,420,0.005,0.5,,,,,1512.8472273000516,1512.8472273000516,1515.8632247999776,1515.8632247999776,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,421,0.005,0.5,,,,,1516.3588796999538,1516.3588796999538,1519.3768648999976,1519.3768648999976,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,422,0.005,0.5,,,,,1519.8946345000295,1519.8946345000295,1522.9110836000182,1522.9110836000182,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,423,0.005,0.5,,,,,1523.4099722000537,1523.4099722000537,1526.4265232000034,1526.4265232000034,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,424,0.005,0.5,,,,,1526.9264894999797,1526.9264894999797,1529.9433896000264,1529.9433896000264,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,425,0.005,0.5,,,,,1530.4434961000225,1530.4434961000225,1533.4594606000464,1533.4594606000464,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,426,0.005,0.5,,,,,1533.95876389998,1533.95876389998,1536.997574100038,1536.997574100038,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,427,0.005,0.5,,,,,1537.493011899991,1537.493011899991,1540.5119857999962,1540.5119857999962,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,428,0.005,0.5,,,,,1541.0122192000272,1541.0122192000272,1544.0274440000067,1544.0274440000067,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,429,0.005,0.5,,,,,1544.526423500036,1544.526423500036,1547.5446370999562,1547.5446370999562,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,430,0.005,0.5,,,,,1548.0413964999607,1548.0413964999607,1551.0607342000585,1551.0607342000585,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,431,0.005,0.5,,,,,1551.5606392000336,1551.5606392000336,1554.5792384999804,1554.5792384999804,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,432,0.005,0.5,,,,,1555.0733301000437,1555.0733301000437,1558.0791015999857,1558.0791015999857,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,433,0.005,0.5,,,,,1558.5728564000456,1558.5728564000456,1561.5804006999824,1561.5804006999824,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,434,0.005,0.5,,,,,1562.073747599963,1562.073747599963,1565.0949559999863,1565.0949559999863,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,435,0.005,0.5,,,,,1565.5896453999449,1565.5896453999449,1568.592477499973,1568.592477499973,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,436,0.005,0.5,,,,,1569.0968925999478,1569.0968925999478,1572.1140448000515,1572.1140448000515,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
